Ad-Hoc Network Best Case Senario Test Record n
PING 192.168.42.1 (192.168.42.1) 56(84) bytes of data.
64 bytes from 192.168.42.1: icmp_seq=1 ttl=64 time=66.0 ms
64 bytes from 192.168.42.1: icmp_seq=2 ttl=64 time=15.4 ms
64 bytes from 192.168.42.1: icmp_seq=3 ttl=64 time=196 ms
64 bytes from 192.168.42.1: icmp_seq=4 ttl=64 time=36.0 ms
64 bytes from 192.168.42.1: icmp_seq=5 ttl=64 time=14.2 ms
64 bytes from 192.168.42.1: icmp_seq=6 ttl=64 time=13.0 ms
64 bytes from 192.168.42.1: icmp_seq=7 ttl=64 time=11.1 ms
64 bytes from 192.168.42.1: icmp_seq=8 ttl=64 time=188 ms
64 bytes from 192.168.42.1: icmp_seq=9 ttl=64 time=10.2 ms
64 bytes from 192.168.42.1: icmp_seq=10 ttl=64 time=11.9 ms
64 bytes from 192.168.42.1: icmp_seq=11 ttl=64 time=11.3 ms
64 bytes from 192.168.42.1: icmp_seq=12 ttl=64 time=40.2 ms
64 bytes from 192.168.42.1: icmp_seq=13 ttl=64 time=18.8 ms
64 bytes from 192.168.42.1: icmp_seq=14 ttl=64 time=25.4 ms
64 bytes from 192.168.42.1: icmp_seq=15 ttl=64 time=17.1 ms
64 bytes from 192.168.42.1: icmp_seq=16 ttl=64 time=13.8 ms
64 bytes from 192.168.42.1: icmp_seq=17 ttl=64 time=12.2 ms
64 bytes from 192.168.42.1: icmp_seq=18 ttl=64 time=15.9 ms
64 bytes from 192.168.42.1: icmp_seq=19 ttl=64 time=11.4 ms
64 bytes from 192.168.42.1: icmp_seq=20 ttl=64 time=12.5 ms
64 bytes from 192.168.42.1: icmp_seq=21 ttl=64 time=222 ms
64 bytes from 192.168.42.1: icmp_seq=22 ttl=64 time=9.77 ms
64 bytes from 192.168.42.1: icmp_seq=23 ttl=64 time=13.2 ms
64 bytes from 192.168.42.1: icmp_seq=24 ttl=64 time=1245 ms
64 bytes from 192.168.42.1: icmp_seq=25 ttl=64 time=245 ms
64 bytes from 192.168.42.1: icmp_seq=26 ttl=64 time=26.1 ms
64 bytes from 192.168.42.1: icmp_seq=27 ttl=64 time=11.2 ms
64 bytes from 192.168.42.1: icmp_seq=28 ttl=64 time=12.2 ms
64 bytes from 192.168.42.1: icmp_seq=29 ttl=64 time=17.6 ms
64 bytes from 192.168.42.1: icmp_seq=30 ttl=64 time=11.2 ms
64 bytes from 192.168.42.1: icmp_seq=31 ttl=64 time=274 ms
64 bytes from 192.168.42.1: icmp_seq=32 ttl=64 time=973 ms
64 bytes from 192.168.42.1: icmp_seq=33 ttl=64 time=23.7 ms
64 bytes from 192.168.42.1: icmp_seq=34 ttl=64 time=10.1 ms
64 bytes from 192.168.42.1: icmp_seq=35 ttl=64 time=51.5 ms
64 bytes from 192.168.42.1: icmp_seq=36 ttl=64 time=24.3 ms
64 bytes from 192.168.42.1: icmp_seq=37 ttl=64 time=10.4 ms
64 bytes from 192.168.42.1: icmp_seq=38 ttl=64 time=40.2 ms
64 bytes from 192.168.42.1: icmp_seq=39 ttl=64 time=12.7 ms
64 bytes from 192.168.42.1: icmp_seq=40 ttl=64 time=14.5 ms
64 bytes from 192.168.42.1: icmp_seq=41 ttl=64 time=22.9 ms
64 bytes from 192.168.42.1: icmp_seq=42 ttl=64 time=9.69 ms
64 bytes from 192.168.42.1: icmp_seq=43 ttl=64 time=9.70 ms
64 bytes from 192.168.42.1: icmp_seq=44 ttl=64 time=9.68 ms
64 bytes from 192.168.42.1: icmp_seq=45 ttl=64 time=73.1 ms
64 bytes from 192.168.42.1: icmp_seq=46 ttl=64 time=11.9 ms
64 bytes from 192.168.42.1: icmp_seq=47 ttl=64 time=10.2 ms
64 bytes from 192.168.42.1: icmp_seq=48 ttl=64 time=19.7 ms
64 bytes from 192.168.42.1: icmp_seq=49 ttl=64 time=12.4 ms
64 bytes from 192.168.42.1: icmp_seq=50 ttl=64 time=10.6 ms
64 bytes from 192.168.42.1: icmp_seq=51 ttl=64 time=10.8 ms
64 bytes from 192.168.42.1: icmp_seq=52 ttl=64 time=24.9 ms
64 bytes from 192.168.42.1: icmp_seq=53 ttl=64 time=187 ms
64 bytes from 192.168.42.1: icmp_seq=54 ttl=64 time=10.9 ms
64 bytes from 192.168.42.1: icmp_seq=55 ttl=64 time=20.5 ms
64 bytes from 192.168.42.1: icmp_seq=56 ttl=64 time=18.9 ms
64 bytes from 192.168.42.1: icmp_seq=57 ttl=64 time=12.2 ms
64 bytes from 192.168.42.1: icmp_seq=58 ttl=64 time=18.6 ms
64 bytes from 192.168.42.1: icmp_seq=59 ttl=64 time=52.0 ms
64 bytes from 192.168.42.1: icmp_seq=60 ttl=64 time=9.92 ms
64 bytes from 192.168.42.1: icmp_seq=61 ttl=64 time=10.8 ms
64 bytes from 192.168.42.1: icmp_seq=62 ttl=64 time=9.79 ms
64 bytes from 192.168.42.1: icmp_seq=63 ttl=64 time=59.8 ms
64 bytes from 192.168.42.1: icmp_seq=64 ttl=64 time=12.7 ms
64 bytes from 192.168.42.1: icmp_seq=65 ttl=64 time=11.8 ms
64 bytes from 192.168.42.1: icmp_seq=66 ttl=64 time=10.4 ms
64 bytes from 192.168.42.1: icmp_seq=67 ttl=64 time=16.1 ms
64 bytes from 192.168.42.1: icmp_seq=68 ttl=64 time=125 ms
64 bytes from 192.168.42.1: icmp_seq=69 ttl=64 time=34.4 ms
64 bytes from 192.168.42.1: icmp_seq=70 ttl=64 time=28.0 ms
64 bytes from 192.168.42.1: icmp_seq=71 ttl=64 time=12.9 ms
64 bytes from 192.168.42.1: icmp_seq=72 ttl=64 time=11.1 ms
64 bytes from 192.168.42.1: icmp_seq=73 ttl=64 time=15.0 ms
64 bytes from 192.168.42.1: icmp_seq=74 ttl=64 time=11.5 ms
64 bytes from 192.168.42.1: icmp_seq=75 ttl=64 time=22.1 ms
64 bytes from 192.168.42.1: icmp_seq=76 ttl=64 time=10.3 ms
64 bytes from 192.168.42.1: icmp_seq=77 ttl=64 time=14.5 ms
64 bytes from 192.168.42.1: icmp_seq=78 ttl=64 time=17.2 ms
64 bytes from 192.168.42.1: icmp_seq=79 ttl=64 time=912 ms
64 bytes from 192.168.42.1: icmp_seq=80 ttl=64 time=14.6 ms
64 bytes from 192.168.42.1: icmp_seq=81 ttl=64 time=45.8 ms
64 bytes from 192.168.42.1: icmp_seq=82 ttl=64 time=10.9 ms
64 bytes from 192.168.42.1: icmp_seq=83 ttl=64 time=50.6 ms
64 bytes from 192.168.42.1: icmp_seq=84 ttl=64 time=171 ms
64 bytes from 192.168.42.1: icmp_seq=85 ttl=64 time=10.1 ms
64 bytes from 192.168.42.1: icmp_seq=86 ttl=64 time=12.1 ms
64 bytes from 192.168.42.1: icmp_seq=87 ttl=64 time=2944 ms
64 bytes from 192.168.42.1: icmp_seq=88 ttl=64 time=1966 ms
64 bytes from 192.168.42.1: icmp_seq=89 ttl=64 time=966 ms
64 bytes from 192.168.42.1: icmp_seq=90 ttl=64 time=25.0 ms
64 bytes from 192.168.42.1: icmp_seq=91 ttl=64 time=46.5 ms
64 bytes from 192.168.42.1: icmp_seq=92 ttl=64 time=22.9 ms
64 bytes from 192.168.42.1: icmp_seq=93 ttl=64 time=1031 ms
64 bytes from 192.168.42.1: icmp_seq=94 ttl=64 time=158 ms
64 bytes from 192.168.42.1: icmp_seq=95 ttl=64 time=12.6 ms
64 bytes from 192.168.42.1: icmp_seq=96 ttl=64 time=10.4 ms
64 bytes from 192.168.42.1: icmp_seq=97 ttl=64 time=10.0 ms
64 bytes from 192.168.42.1: icmp_seq=98 ttl=64 time=35.7 ms
64 bytes from 192.168.42.1: icmp_seq=99 ttl=64 time=10.3 ms
64 bytes from 192.168.42.1: icmp_seq=100 ttl=64 time=16.2 ms
64 bytes from 192.168.42.1: icmp_seq=101 ttl=64 time=323 ms
64 bytes from 192.168.42.1: icmp_seq=102 ttl=64 time=10.1 ms
64 bytes from 192.168.42.1: icmp_seq=103 ttl=64 time=20.4 ms
64 bytes from 192.168.42.1: icmp_seq=104 ttl=64 time=10.0 ms
64 bytes from 192.168.42.1: icmp_seq=105 ttl=64 time=41.7 ms
64 bytes from 192.168.42.1: icmp_seq=106 ttl=64 time=11.2 ms
64 bytes from 192.168.42.1: icmp_seq=107 ttl=64 time=136 ms
64 bytes from 192.168.42.1: icmp_seq=108 ttl=64 time=17.0 ms
64 bytes from 192.168.42.1: icmp_seq=109 ttl=64 time=15.5 ms
64 bytes from 192.168.42.1: icmp_seq=110 ttl=64 time=10.4 ms
64 bytes from 192.168.42.1: icmp_seq=111 ttl=64 time=12.3 ms
64 bytes from 192.168.42.1: icmp_seq=112 ttl=64 time=32.7 ms
64 bytes from 192.168.42.1: icmp_seq=113 ttl=64 time=13.6 ms
64 bytes from 192.168.42.1: icmp_seq=114 ttl=64 time=15.8 ms
64 bytes from 192.168.42.1: icmp_seq=115 ttl=64 time=10.2 ms
64 bytes from 192.168.42.1: icmp_seq=116 ttl=64 time=10.8 ms
64 bytes from 192.168.42.1: icmp_seq=117 ttl=64 time=10.7 ms
64 bytes from 192.168.42.1: icmp_seq=118 ttl=64 time=12.7 ms
64 bytes from 192.168.42.1: icmp_seq=119 ttl=64 time=15.3 ms
64 bytes from 192.168.42.1: icmp_seq=120 ttl=64 time=15.3 ms
64 bytes from 192.168.42.1: icmp_seq=121 ttl=64 time=13.3 ms
64 bytes from 192.168.42.1: icmp_seq=122 ttl=64 time=270 ms
64 bytes from 192.168.42.1: icmp_seq=123 ttl=64 time=11.0 ms
64 bytes from 192.168.42.1: icmp_seq=124 ttl=64 time=9.57 ms
64 bytes from 192.168.42.1: icmp_seq=125 ttl=64 time=28.3 ms
64 bytes from 192.168.42.1: icmp_seq=126 ttl=64 time=11.6 ms
64 bytes from 192.168.42.1: icmp_seq=127 ttl=64 time=155 ms

--- 192.168.42.1 ping statistics ---
127 packets transmitted, 127 received, 0% packet loss, time 126200ms
rtt min/avg/max/mdev = 9.571/115.891/2944.704/363.754 ms, pipe 3


Testing transfer size restrictions

PING 192.168.42.1 (192.168.42.1) 128(156) bytes of data.
136 bytes from 192.168.42.1: icmp_seq=1 ttl=64 time=12.3 ms
136 bytes from 192.168.42.1: icmp_seq=2 ttl=64 time=10.4 ms
136 bytes from 192.168.42.1: icmp_seq=3 ttl=64 time=13.3 ms
136 bytes from 192.168.42.1: icmp_seq=4 ttl=64 time=29.7 ms
136 bytes from 192.168.42.1: icmp_seq=5 ttl=64 time=10.0 ms
136 bytes from 192.168.42.1: icmp_seq=6 ttl=64 time=679 ms
136 bytes from 192.168.42.1: icmp_seq=7 ttl=64 time=9.30 ms
136 bytes from 192.168.42.1: icmp_seq=8 ttl=64 time=14.6 ms
136 bytes from 192.168.42.1: icmp_seq=9 ttl=64 time=10.0 ms
136 bytes from 192.168.42.1: icmp_seq=10 ttl=64 time=9.22 ms
136 bytes from 192.168.42.1: icmp_seq=11 ttl=64 time=10.9 ms
136 bytes from 192.168.42.1: icmp_seq=12 ttl=64 time=9.79 ms
136 bytes from 192.168.42.1: icmp_seq=13 ttl=64 time=10.0 ms
136 bytes from 192.168.42.1: icmp_seq=14 ttl=64 time=14.8 ms
136 bytes from 192.168.42.1: icmp_seq=15 ttl=64 time=10.0 ms
136 bytes from 192.168.42.1: icmp_seq=16 ttl=64 time=9.75 ms
136 bytes from 192.168.42.1: icmp_seq=17 ttl=64 time=10.1 ms
136 bytes from 192.168.42.1: icmp_seq=18 ttl=64 time=9.97 ms
136 bytes from 192.168.42.1: icmp_seq=19 ttl=64 time=15.9 ms
136 bytes from 192.168.42.1: icmp_seq=20 ttl=64 time=12.0 ms
136 bytes from 192.168.42.1: icmp_seq=21 ttl=64 time=9.66 ms
136 bytes from 192.168.42.1: icmp_seq=22 ttl=64 time=10.4 ms
136 bytes from 192.168.42.1: icmp_seq=23 ttl=64 time=10.1 ms
136 bytes from 192.168.42.1: icmp_seq=24 ttl=64 time=14.2 ms
136 bytes from 192.168.42.1: icmp_seq=25 ttl=64 time=10.3 ms
136 bytes from 192.168.42.1: icmp_seq=26 ttl=64 time=11.1 ms
136 bytes from 192.168.42.1: icmp_seq=27 ttl=64 time=9.66 ms
136 bytes from 192.168.42.1: icmp_seq=28 ttl=64 time=9.52 ms
136 bytes from 192.168.42.1: icmp_seq=29 ttl=64 time=15.0 ms
136 bytes from 192.168.42.1: icmp_seq=30 ttl=64 time=9.61 ms
136 bytes from 192.168.42.1: icmp_seq=31 ttl=64 time=26.4 ms
136 bytes from 192.168.42.1: icmp_seq=32 ttl=64 time=15.0 ms
136 bytes from 192.168.42.1: icmp_seq=33 ttl=64 time=11.8 ms
136 bytes from 192.168.42.1: icmp_seq=34 ttl=64 time=13.6 ms
136 bytes from 192.168.42.1: icmp_seq=35 ttl=64 time=9.59 ms
136 bytes from 192.168.42.1: icmp_seq=36 ttl=64 time=9.59 ms
136 bytes from 192.168.42.1: icmp_seq=37 ttl=64 time=9.64 ms
136 bytes from 192.168.42.1: icmp_seq=38 ttl=64 time=9.61 ms
136 bytes from 192.168.42.1: icmp_seq=39 ttl=64 time=13.9 ms
136 bytes from 192.168.42.1: icmp_seq=40 ttl=64 time=9.85 ms
136 bytes from 192.168.42.1: icmp_seq=41 ttl=64 time=26.5 ms
136 bytes from 192.168.42.1: icmp_seq=42 ttl=64 time=28.2 ms
136 bytes from 192.168.42.1: icmp_seq=43 ttl=64 time=12.7 ms
136 bytes from 192.168.42.1: icmp_seq=44 ttl=64 time=20.1 ms
136 bytes from 192.168.42.1: icmp_seq=45 ttl=64 time=10.7 ms
136 bytes from 192.168.42.1: icmp_seq=46 ttl=64 time=12.1 ms
136 bytes from 192.168.42.1: icmp_seq=47 ttl=64 time=10.1 ms
136 bytes from 192.168.42.1: icmp_seq=48 ttl=64 time=8.15 ms
136 bytes from 192.168.42.1: icmp_seq=49 ttl=64 time=12.3 ms
