Water Immersion Test
PING 192.168.42.1 (192.168.42.1) 56(84) bytes of data.
64 bytes from 192.168.42.1: icmp_seq=1 ttl=64 time=14.5 ms
64 bytes from 192.168.42.1: icmp_seq=2 ttl=64 time=9.29 ms
64 bytes from 192.168.42.1: icmp_seq=3 ttl=64 time=9.35 ms
64 bytes from 192.168.42.1: icmp_seq=4 ttl=64 time=9.19 ms
64 bytes from 192.168.42.1: icmp_seq=5 ttl=64 time=12.0 ms
64 bytes from 192.168.42.1: icmp_seq=6 ttl=64 time=9.98 ms
64 bytes from 192.168.42.1: icmp_seq=7 ttl=64 time=9.68 ms
64 bytes from 192.168.42.1: icmp_seq=8 ttl=64 time=9.56 ms
64 bytes from 192.168.42.1: icmp_seq=9 ttl=64 time=15.8 ms
64 bytes from 192.168.42.1: icmp_seq=10 ttl=64 time=12.8 ms
64 bytes from 192.168.42.1: icmp_seq=11 ttl=64 time=9.47 ms
64 bytes from 192.168.42.1: icmp_seq=12 ttl=64 time=9.55 ms
64 bytes from 192.168.42.1: icmp_seq=13 ttl=64 time=10.1 ms
64 bytes from 192.168.42.1: icmp_seq=14 ttl=64 time=10.7 ms
64 bytes from 192.168.42.1: icmp_seq=15 ttl=64 time=13.2 ms
64 bytes from 192.168.42.1: icmp_seq=16 ttl=64 time=12.1 ms
64 bytes from 192.168.42.1: icmp_seq=17 ttl=64 time=14.4 ms
64 bytes from 192.168.42.1: icmp_seq=18 ttl=64 time=11.2 ms
64 bytes from 192.168.42.1: icmp_seq=19 ttl=64 time=10.4 ms
64 bytes from 192.168.42.1: icmp_seq=20 ttl=64 time=17.2 ms
64 bytes from 192.168.42.1: icmp_seq=21 ttl=64 time=13.1 ms
64 bytes from 192.168.42.1: icmp_seq=22 ttl=64 time=25.0 ms
64 bytes from 192.168.42.1: icmp_seq=23 ttl=64 time=10.0 ms
64 bytes from 192.168.42.1: icmp_seq=24 ttl=64 time=9.53 ms
64 bytes from 192.168.42.1: icmp_seq=25 ttl=64 time=9.71 ms
64 bytes from 192.168.42.1: icmp_seq=26 ttl=64 time=9.96 ms
64 bytes from 192.168.42.1: icmp_seq=27 ttl=64 time=21.4 ms
64 bytes from 192.168.42.1: icmp_seq=28 ttl=64 time=9.77 ms
64 bytes from 192.168.42.1: icmp_seq=29 ttl=64 time=11.2 ms
64 bytes from 192.168.42.1: icmp_seq=30 ttl=64 time=9.89 ms
64 bytes from 192.168.42.1: icmp_seq=31 ttl=64 time=12.3 ms
64 bytes from 192.168.42.1: icmp_seq=32 ttl=64 time=9.54 ms
64 bytes from 192.168.42.1: icmp_seq=33 ttl=64 time=9.52 ms
64 bytes from 192.168.42.1: icmp_seq=34 ttl=64 time=9.89 ms
64 bytes from 192.168.42.1: icmp_seq=35 ttl=64 time=9.64 ms
64 bytes from 192.168.42.1: icmp_seq=36 ttl=64 time=25.2 ms
64 bytes from 192.168.42.1: icmp_seq=37 ttl=64 time=12.0 ms
64 bytes from 192.168.42.1: icmp_seq=38 ttl=64 time=10.2 ms
64 bytes from 192.168.42.1: icmp_seq=39 ttl=64 time=11.9 ms
64 bytes from 192.168.42.1: icmp_seq=40 ttl=64 time=9.45 ms
64 bytes from 192.168.42.1: icmp_seq=41 ttl=64 time=12.2 ms
64 bytes from 192.168.42.1: icmp_seq=42 ttl=64 time=9.17 ms
64 bytes from 192.168.42.1: icmp_seq=43 ttl=64 time=9.51 ms
64 bytes from 192.168.42.1: icmp_seq=44 ttl=64 time=17.1 ms
64 bytes from 192.168.42.1: icmp_seq=45 ttl=64 time=9.31 ms
64 bytes from 192.168.42.1: icmp_seq=46 ttl=64 time=9.51 ms
64 bytes from 192.168.42.1: icmp_seq=47 ttl=64 time=11.4 ms
64 bytes from 192.168.42.1: icmp_seq=48 ttl=64 time=14.0 ms
64 bytes from 192.168.42.1: icmp_seq=49 ttl=64 time=10.1 ms
64 bytes from 192.168.42.1: icmp_seq=50 ttl=64 time=13.0 ms
64 bytes from 192.168.42.1: icmp_seq=51 ttl=64 time=9.57 ms
64 bytes from 192.168.42.1: icmp_seq=52 ttl=64 time=12.5 ms
64 bytes from 192.168.42.1: icmp_seq=53 ttl=64 time=9.42 ms

--- 192.168.42.1 ping statistics ---
53 packets transmitted, 53 received, 0% packet loss, time 52078ms
rtt min/avg/max/mdev = 9.172/11.850/25.241/3.600 ms

PING 192.168.42.1 (192.168.42.1) 56(84) bytes of data.
64 bytes from 192.168.42.1: icmp_seq=1 ttl=64 time=18.3 ms
64 bytes from 192.168.42.1: icmp_seq=2 ttl=64 time=10.4 ms
64 bytes from 192.168.42.1: icmp_seq=3 ttl=64 time=9.16 ms
64 bytes from 192.168.42.1: icmp_seq=4 ttl=64 time=16.3 ms
64 bytes from 192.168.42.1: icmp_seq=5 ttl=64 time=8.55 ms
64 bytes from 192.168.42.1: icmp_seq=6 ttl=64 time=11.1 ms
64 bytes from 192.168.42.1: icmp_seq=7 ttl=64 time=14.1 ms
64 bytes from 192.168.42.1: icmp_seq=8 ttl=64 time=12.5 ms
64 bytes from 192.168.42.1: icmp_seq=9 ttl=64 time=10.8 ms
64 bytes from 192.168.42.1: icmp_seq=10 ttl=64 time=9.95 ms
64 bytes from 192.168.42.1: icmp_seq=11 ttl=64 time=9.50 ms
64 bytes from 192.168.42.1: icmp_seq=12 ttl=64 time=10.7 ms
64 bytes from 192.168.42.1: icmp_seq=13 ttl=64 time=10.4 ms
64 bytes from 192.168.42.1: icmp_seq=14 ttl=64 time=9.53 ms
64 bytes from 192.168.42.1: icmp_seq=15 ttl=64 time=9.31 ms
64 bytes from 192.168.42.1: icmp_seq=16 ttl=64 time=11.2 ms
64 bytes from 192.168.42.1: icmp_seq=17 ttl=64 time=10.4 ms
64 bytes from 192.168.42.1: icmp_seq=18 ttl=64 time=10.4 ms
64 bytes from 192.168.42.1: icmp_seq=19 ttl=64 time=9.46 ms
64 bytes from 192.168.42.1: icmp_seq=20 ttl=64 time=10.6 ms
64 bytes from 192.168.42.1: icmp_seq=21 ttl=64 time=9.38 ms
64 bytes from 192.168.42.1: icmp_seq=22 ttl=64 time=10.5 ms
64 bytes from 192.168.42.1: icmp_seq=23 ttl=64 time=12.7 ms
64 bytes from 192.168.42.1: icmp_seq=24 ttl=64 time=11.0 ms
64 bytes from 192.168.42.1: icmp_seq=25 ttl=64 time=11.1 ms
64 bytes from 192.168.42.1: icmp_seq=26 ttl=64 time=9.94 ms
64 bytes from 192.168.42.1: icmp_seq=27 ttl=64 time=13.0 ms
64 bytes from 192.168.42.1: icmp_seq=28 ttl=64 time=9.88 ms
64 bytes from 192.168.42.1: icmp_seq=29 ttl=64 time=9.27 ms
64 bytes from 192.168.42.1: icmp_seq=30 ttl=64 time=12.2 ms
64 bytes from 192.168.42.1: icmp_seq=31 ttl=64 time=9.64 ms
64 bytes from 192.168.42.1: icmp_seq=32 ttl=64 time=9.54 ms
64 bytes from 192.168.42.1: icmp_seq=33 ttl=64 time=10.8 ms
64 bytes from 192.168.42.1: icmp_seq=34 ttl=64 time=9.50 ms
64 bytes from 192.168.42.1: icmp_seq=35 ttl=64 time=12.3 ms
64 bytes from 192.168.42.1: icmp_seq=36 ttl=64 time=9.50 ms
64 bytes from 192.168.42.1: icmp_seq=37 ttl=64 time=9.51 ms
64 bytes from 192.168.42.1: icmp_seq=38 ttl=64 time=11.3 ms
64 bytes from 192.168.42.1: icmp_seq=39 ttl=64 time=9.82 ms
64 bytes from 192.168.42.1: icmp_seq=40 ttl=64 time=9.30 ms
64 bytes from 192.168.42.1: icmp_seq=41 ttl=64 time=10.0 ms
64 bytes from 192.168.42.1: icmp_seq=42 ttl=64 time=10.1 ms
64 bytes from 192.168.42.1: icmp_seq=43 ttl=64 time=10.2 ms
64 bytes from 192.168.42.1: icmp_seq=44 ttl=64 time=14.0 ms
64 bytes from 192.168.42.1: icmp_seq=45 ttl=64 time=9.78 ms
64 bytes from 192.168.42.1: icmp_seq=46 ttl=64 time=9.42 ms
64 bytes from 192.168.42.1: icmp_seq=47 ttl=64 time=10.8 ms
64 bytes from 192.168.42.1: icmp_seq=48 ttl=64 time=29.1 ms
64 bytes from 192.168.42.1: icmp_seq=49 ttl=64 time=27.4 ms
64 bytes from 192.168.42.1: icmp_seq=50 ttl=64 time=9.69 ms
64 bytes from 192.168.42.1: icmp_seq=51 ttl=64 time=11.2 ms
64 bytes from 192.168.42.1: icmp_seq=52 ttl=64 time=13.0 ms
64 bytes from 192.168.42.1: icmp_seq=53 ttl=64 time=10.9 ms
64 bytes from 192.168.42.1: icmp_seq=54 ttl=64 time=9.29 ms
64 bytes from 192.168.42.1: icmp_seq=55 ttl=64 time=9.23 ms
